;Ýstasyon;Parametre;Min. Deðer;Min. Tarih;Max. Deðer;Max. Tarih;Ort. Deðer;Veri Adeti;Olmasý Gereken Veri;Veri Yüzdesi;Standart Sapma;Toplam Deðer
;Ankara - Sýhhýye;PM1;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;PM10Debi_2;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;Pb;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;SO2Test;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;SolarRadyasyon;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;TestChannel;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;ToplamKsilen;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;Toulen;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;UVARadyasyonu;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;UVBRadyasyon;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;Yagmur;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;mKsilen;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;pKsilen;;;;;;0;14795;0;;0
Ýstasyon: Ankara - Sincan;;;;;;;;;;;;
;Ankara - Sincan;PM10;0,89;28.01.2012;830,91;17.12.2018;56,95;6987;14795;47,23;48,56;397919,86
;Ankara - Sincan;KabinSicakligi;7,18;6.03.2013;47,02;6.06.2019;19,07;6951;14795;46,98;4,18;132521,37
;Ankara - Sincan;HavaSicakligi;-58,75;13.05.2015;38,89;1.08.2010;12,04;6413;14795;43,35;15,96;77224,41
;Ankara - Sincan;RuzgarHizi;-3,25;3.06.2012;28,9;26.06.2014;3,12;6413;14795;43,35;3,51;19982,19
;Ankara - Sincan;RuzgarYon;-88,21;5.07.2014;311,27;22.08.2010;88,32;6413;14795;43,35;109,09;566388,14
;Ankara - Sincan;GunesRadyasyon;-374,21;17.09.2014;932,43;28.10.2011;-13,88;6413;14795;43,35;278,33;-89029,92
;Ankara - Sincan;BagilNem;-24,95;11.07.2014;102,85;9.01.2012;46,86;6374;14795;43,08;25,17;298674,19
;Ankara - Sincan;NO2;1,48;22.07.2011;449,91;22.11.2019;42,62;6358;14795;42,97;27,27;270979,57
;Ankara - Sincan;NO;0,16;4.05.2012;542,93;7.11.2016;32,16;6358;14795;42,97;44,88;204486,65
;Ankara - Sincan;NOX;1,8;22.07.2011;719,77;7.11.2016;74,18;6354;14795;42,95;61,52;471315,57
;Ankara - Sincan;HavaBasinc;15,03;19.05.2015;1103,82;16.02.2016;976,05;6290;14795;42,51;159,07;6139355,02
