Yil,PM10,SO2,CO,NO2,NOX,NO,HavaSicakligi,BagilNem,KabinSicakligi,KabinNem,PM25,IstasyonTipi,Gece/Gunduz,Haftasonu/Haftaici,Ay,Mevsim
2020,38.26,4.66,556.16,66.93,96.44,38.42,6.65,83.63,20.56,29.89,12.97,Kentsel,Gece,Haftasonu,2,Kis
2020,33.73,5.77,701.85,57.92,77.76,26.86,6.67,79.07,20.58,29.92,11.31,Kentsel,Gunduz,Haftasonu,2,Kis
2020,29.92,3.99,477.08,46.06,54.94,8.25,1.52,85.27,20.64,30.03,9.91,Kentsel,Gece,Haftasonu,2,Kis
2020,14.71,9.31,763.23,49.34,64.14,16.91,2.75,66.88,20.61,29.97,4.31,Kentsel,Gunduz,Haftaici,1,Kis
2020,5.89,9.2,354.26,33.05,40.7,7.7,1.71,75.52,20.63,30.0,1.06,Kentsel,Gece,Haftaici,1,Kis
2020,17.28,2.84,555.71,51.0,63.32,20.41,5.41,94.81,20.55,29.87,5.26,Kentsel,Gunduz,Haftaici,1,Kis
2020,28.0,3.26,341.29,31.13,36.22,10.03,7.52,83.47,20.53,29.83,9.2,Kentsel,Gece,Haftaici,1,Kis
2020,36.7,4.34,322.64,47.49,56.45,8.25,9.73,62.43,20.5,29.78,12.4,Kentsel,Gunduz,Haftaici,1,Kis
2020,69.37,4.78,602.5,65.83,121.38,58.68,6.34,91.41,20.56,29.89,24.42,Kentsel,Gece,Haftaici,1,Kis
2020,162.01,7.28,1586.53,89.67,258.74,169.07,6.8,97.28,20.55,29.88,58.52,Kentsel,Gunduz,Haftaici,1,Kis
2020,160.43,12.33,1932.8,86.52,229.61,143.08,4.64,82.43,20.56,29.9,57.93,Kentsel,Gece,Haftaici,1,Kis
2020,195.86,19.51,1571.13,119.64,234.45,114.81,9.17,56.37,20.49,29.78,70.97,Kentsel,Gunduz,Haftaici,1,Kis
2020,89.68,4.61,2054.37,94.52,264.2,169.68,0.92,84.44,20.23,29.35,52.02,Kentsel,Gece,Haftaici,1,Kis
2020,34.03,12.14,907.13,83.46,164.17,80.71,6.77,56.33,20.3,29.46,4.75,Kentsel,Gunduz,Haftasonu,1,Kis
2020,60.7,8.88,1821.71,96.85,298.72,201.88,-0.56,81.48,20.2,29.29,8.79,Kentsel,Gece,Haftasonu,1,Kis
2020,102.75,9.27,923.34,80.78,183.18,102.4,4.9,55.41,20.28,29.42,36.71,Kentsel,Gunduz,Haftasonu,1,Kis
2020,84.26,11.15,1193.74,95.6,241.64,146.04,-2.23,84.46,20.18,29.26,29.9,Kentsel,Gece,Haftasonu,1,Kis
2020,41.5,8.58,500.66,60.22,94.03,33.81,1.19,66.25,20.23,29.35,14.17,Kentsel,Gunduz,Haftaici,1,Kis
2020,28.02,5.05,292.23,47.66,59.26,11.6,-1.17,74.58,20.19,29.27,9.21,Kentsel,Gece,Haftaici,1,Kis
2020,65.39,31.63,399.22,49.42,67.92,18.49,1.76,67.63,20.24,29.36,22.96,Kentsel,Gunduz,Haftaici,1,Kis
